"CSIScontractID","Unmodifiedmultipleorsingleawardidc","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","MajorCommandID","simplearea","isAnyRnD1to5","obligatedAmountRnD1to5","firstSignedDateRnD1to5","UnmodifiedRnD1to5","Indefinite.Delivery.Contract","multipleorsingleawardidc","addmultipleorsingawardidc","AwardOrIDVcontractactiontype","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsFollowonToCompetedAction","Unmodifiedaddmultipleorsingawardidc","UnmodifiedAwardOrIDVcontractactiontype","NumberOfOffersReceived","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","MultipleOrSingleAwardIDC","AddMultipleOrSingleAwardIDC","AwardOrIDVcontractActionType"
24562688,"SINGLE AWARD",NA,"1/31/2010","1/31/2010",11,33098040.7,33098040.7,33098040.7,2009,2012,1,"W56HZV09D0017","1",NA,NA,58773,NA,"","",NA,NA,"J","0","","C",NA,TRUE,NA,NA,33098040.7,"00:00.0","00:00.0",0,0,0,471512.81,471512.81,471512.81,32571319.82,32571319.82,32571319.82,1,1,0,0,0,5,1,"00:00.0","00:00.0","","ORG-2877","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",1,0,0,1,0,1,"Indefinite Delivery Contract","1","0","0","NULL","1","0","SINGLE AWARD","1","Indefinite Delivery Contract"
17684219,"MULTIPLE AWARD",NA,"6/9/2012","6/9/2012",1,2800000.05,2800000.05,2800000.05,2011,2011,1,"GS35F0283J","M6700411F0717",NA,NA,373312,NA,"1700","M67004",NA,NA,"J","0","ONE","A",NA,TRUE,NA,NA,2800000.05,"00:00.0","00:00.0",0,0,0,0,0,0,2800000.05,2800000.05,2800000.05,0,0,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2943","Products",0,NA,NA,0,NA,"MULTIPLE AWARD",0,"Federal Supply Schedule",1,0,0,1,0,0,"Federal Supply Schedule","1","0","0","NULL","1","0","MULTIPLE AWARD","0","Federal Supply Schedule"
24560667,"SINGLE AWARD",NA,"12/31/2013","12/31/2013",86,385104183.7,385104183.7,385104183.7,2008,2013,1,"W56HZV07DM112","112",NA,NA,165911,NA,"2100","W56HZV",NA,NA,"U","299","","C",NA,FALSE,NA,NA,385104183.7,"00:00.0","00:00.0",144560226,144560226,144560226,925521.7,925521.7,925521.7,86767340,86767340,86767340,1,1,1,25,1,8,1,"00:00.0","00:00.0","","ORG-2877","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",1,0,0,1,0,1,"Indefinite Delivery Contract","1","0","0","NULL","1","0","SINGLE AWARD","NULL","NULL"
3399474,NA,NA,"6/30/2012","6/30/2012",3,210665,210665,210665,2012,2012,0,"","N4044212P1012",NA,NA,23356,NA,"1700","N40442",NA,NA,"J","0","","F",NA,TRUE,NA,NA,210665,"00:00.0","00:00.0",0,0,0,0,0,0,210665,210665,210665,0,1,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2939","Products",0,NA,NA,0,NA,NA,0,"Purchase Order",NA,NA,NA,NA,NA,NA,NA,"2","0","1","210665.0000","NULL","NULL","NULL","0","Purchase Order"
9125135,"SINGLE AWARD",NA,"2/7/2008","2/7/2008",12,146114525.9,146114525.9,158886675.9,2007,2009,1,"DAAB0700DE252","93",NA,NA,358802,NA,"2100","W15P7T",NA,NA,"","0","","A",NA,NA,NA,NA,146114525.9,"00:00.0","00:00.0",13930347,13930347,13930347,104030278.9,104030278.9,104030278.9,12772150,12772150,25544300,0,1,0,1,1,8,1,"00:00.0","00:00.0","","ORG-2877","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",2,1,1,NA,NA,1,"Indefinite Delivery Contract","2","1","1","146114525.9300","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
19056843,"SINGLE AWARD",NA,"4/30/2012","4/30/2012",5,331657.96,331657.96,331657.96,2011,2012,1,"N4425505D7100","869",NA,NA,307280,NA,"1700","N44255",NA,NA,"J","0","","D",NA,TRUE,NA,NA,331657.96,"00:00.0","00:00.0",14924.18,14924.18,14924.18,117989.19,117989.19,117989.19,198744.59,198744.59,198744.59,0,1,0,1,1,3,1,"00:00.0","00:00.0","","ORG-2940","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",2,0,1,NA,NA,1,"Indefinite Delivery Contract","2","0","1","331657.9600","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
10093929,"SINGLE AWARD",NA,"8/31/2012","8/31/2012",7,179232209,179232209,179232209,2010,2012,1,"FA862607D2073","12",NA,NA,138526,NA,"5700","FA8626",NA,NA,"K","200","","C",NA,TRUE,NA,NA,179232209,"00:00.0","00:00.0",0,0,0,0,0,0,167807470,167807470,167807470,0,1,0,0,0,1,1,"00:00.0","00:00.0","","ORG-2825","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",1,0,0,1,0,1,"Indefinite Delivery Contract","1","0","0","NULL","1","0","SINGLE AWARD","1","Indefinite Delivery Contract"
18632104,"SINGLE AWARD",NA,"3/24/2013","3/24/2013",18,281632285.1,283670894.7,283670894.7,2008,2013,1,"M6785408D7036","1",NA,NA,191883,NA,"1700","M67854",NA,NA,"","0","","A",NA,TRUE,NA,NA,281632285.1,"00:00.0","00:00.0",10497864,10497864,10497864,0,0,0,132893640,132893640,132893640,0,1,0,1,1,0,0,"00:00.0","00:00.0","","ORG-2943","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",4,1,1,NA,NA,1,"Indefinite Delivery Contract","4","1","1","281082217.5906","NULL","NULL","SINGLE AWARD","NULL","NULL"
18686718,"SINGLE AWARD",NA,"3/30/2012","3/30/2012",4,2499150,2499150,2499150,2010,2011,1,"N0002409D5212","8",NA,NA,282302,NA,"1700","N00024",NA,NA,"J","0","","D",NA,TRUE,NA,NA,2499150,"00:00.0","00:00.0",0,0,0,4716,4716,4716,2494434,2494434,2494434,0,1,0,0,0,1,1,"00:00.0","00:00.0","","ORG-2941","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",6,0,1,NA,NA,1,"Indefinite Delivery Contract","6","0","1","2499150.0000","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
19371044,"MULTIPLE AWARD",NA,"4/5/2012","4/5/2012",2,74993,74993,74993,2011,2011,1,"N6600109D0021","27",NA,NA,73560,NA,"1700","N66001",NA,NA,"U","0","FAIR","A",NA,FALSE,NA,NA,74993,"00:00.0","00:00.0",0,0,0,0,0,0,74993,74993,74993,0,1,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2944","Services",0,NA,NA,0,NA,"MULTIPLE AWARD",1,"Indefinite Delivery Contract",2,0,1,NA,NA,1,"Indefinite Delivery Contract","2","0","1","74993.0000","NULL","NULL","MULTIPLE AWARD","1","Indefinite Delivery Contract"
10099996,"SINGLE AWARD",NA,"7/31/2009","7/31/2009",11,31372004,31524385,31524385,2008,2011,1,"FA875007D0185","4",NA,NA,298075,NA,"5700","FA8750",NA,NA,"U","0","","A",NA,FALSE,NA,NA,31372004,"00:00.0","00:00.0",0,0,0,3e+05,2221956,2221956,28013150,29302429,29302429,0,1,0,0,0,3,1,"00:00.0","00:00.0","","ORG-2825","R&D",1,31372004,"00:00.0",1,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",1,1,1,NA,NA,1,"Indefinite Delivery Contract","1","1","1","31372004.0000","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
10092853,"SINGLE AWARD",NA,"3/31/2013","3/31/2013",11,10204928,10204928,10204928,2011,2013,1,"FA862009G3049","33",NA,NA,313861,NA,"","",NA,NA,"","0","","C",NA,FALSE,NA,NA,10204928,"00:00.0","00:00.0",0,0,0,0,0,0,3646000,10204928,10204928,0,1,0,0,0,5,1,"00:00.0","00:00.0","","ORG-2825","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",1,0,0,0,0,1,"Indefinite Delivery Contract","1","0","0","NULL","0","0","SINGLE AWARD","1","Indefinite Delivery Contract"
24817221,"MULTIPLE AWARD",NA,"3/22/2013","3/22/2013",6,5501485,5501485,5501485,2011,2013,1,"W912HN08D0031","EC01",NA,NA,133669,NA,"2100","W912DW",NA,NA,"J","0","FAIR","D",NA,TRUE,NA,NA,5501485,"00:00.0","00:00.0",0,0,0,20891,20891,20891,5480594,5480594,5480594,0,1,0,0,0,5,1,"00:00.0","00:00.0","","ORG-2872","Services",0,NA,NA,0,NA,"MULTIPLE AWARD",1,"Indefinite Delivery Contract",4,0,1,NA,NA,1,"Indefinite Delivery Contract","4","0","1","5501485.0000","NULL","NULL","MULTIPLE AWARD","1","Indefinite Delivery Contract"
18700828,"SINGLE AWARD",NA,"9/30/2012","9/30/2012",1190,144821755.3,144821758.3,144821758.3,2012,2012,1,"N0003910D0010","JSJB",NA,NA,57200,NA,"1700","N68836",NA,NA,"J","0","","C",NA,TRUE,NA,NA,144821755.3,"00:00.0","00:00.0",0,0,0,57852706.6,57852709.6,57852709.6,2829526.45,2829526.45,2829526.45,0,1,0,0,0,1,1,"00:00.0","00:00.0","","ORG-2937","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",1,0,0,1,0,1,"Indefinite Delivery Contract","1","0","0","NULL","1","0","SINGLE AWARD","1","Indefinite Delivery Contract"
24750955,"SINGLE AWARD",NA,"9/24/2013","9/24/2013",2,6842313.536,6842313.536,6842313.536,2011,2013,1,"W912BV09D1003","7",NA,NA,349523,NA,"2100","W912BV",NA,NA,"J","0","","D",NA,TRUE,NA,NA,6842313.536,"00:00.0","00:00.0",0,0,0,-512723.0938,-512723.0938,-512723.0938,7355036.63,7355036.63,7355036.63,0,1,0,0,0,1,1,"00:00.0","00:00.0","","ORG-2872","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",9,0,1,NA,NA,1,"Indefinite Delivery Contract","9","0","1","6842313.5362","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
9125164,"SINGLE AWARD",NA,"12/28/2012","12/28/2012",25,207538815.2,207538815.2,207538815.2,2010,2012,1,"DAAB0700DE252","123",NA,NA,358802,NA,"2100","W91QUZ",NA,NA,"J","0","","A",NA,TRUE,NA,NA,207538815.2,"00:00.0","00:00.0",5421934.01,5421934.01,5421934.01,12837513,12837513,-15806750.7,6792708,6792708,35396473,0,1,0,2,1,4,1,"00:00.0","00:00.0","","ORG-2877","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",2,1,1,NA,NA,1,"Indefinite Delivery Contract","2","1","1","207538815.1500","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
18245987,"SINGLE AWARD",NA,"6/30/2011","6/30/2011",1122,5284475,5284475,5284475,2011,2011,1,"HDEC0111G4125","1106",NA,NA,158865,NA,"97AZ","HDEC01",NA,NA,"J","0","","B",NA,TRUE,NA,NA,5284475,"00:00.0","00:00.0",0,0,0,0,0,0,5284475,5284475,5284475,0,0,0,0,0,0,0,"00:00.0","00:00.0","","","Products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8265433,NA,NA,"9/30/2011","9/30/2011",17,94032280.91,120560810.9,137620535.9,2009,2012,0,"","W912BU09C0008",NA,NA,23356,NA,"2100","W912BU",NA,NA,"J","0","","D",NA,TRUE,NA,NA,94032280.91,"00:00.0","00:00.0",11084166.45,11084166.45,11084166.45,50429659.06,34737064.06,34737064.06,14169175.58,56390300.57,73450025.57,0,1,0,2,1,9,1,"00:00.0","00:00.0","","ORG-2872","Services",0,NA,NA,0,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"2","0","1","94032280.9100","0","0","NULL","0","Definitive Contract"
8441473,NA,NA,"2/29/2012","2/29/2012",16,13668321.12,13668321.12,13668321.12,2009,2012,0,"","W912P809C0105",NA,NA,23356,NA,"2100","W912P8",NA,NA,"J","0","","A",NA,TRUE,NA,NA,13668321.12,"00:00.0","00:00.0",1737569.62,1737569.62,1737569.62,0,0,0,12309991,12309991,12309991,0,1,0,7,1,1,1,"00:00.0","00:00.0","","ORG-2872","Services",0,NA,NA,0,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"13","1","1","14277037.8075","NULL","NULL","NULL","0","Definitive Contract"
18109580,"MULTIPLE AWARD",NA,"2/28/2012","2/28/2012",1,2620412.6,2620412.6,2620412.6,2011,2011,1,"GS35F5847H","H9222211F0022",NA,NA,70251,NA,"97ZS","H92222",NA,NA,"J","0","FAIR","A",NA,TRUE,NA,NA,2620412.6,"00:00.0","00:00.0",0,0,0,0,0,0,2620412.6,2620412.6,2620412.6,0,0,0,0,0,0,0,"00:00.0","00:00.0","","","Products",0,NA,NA,0,NA,"MULTIPLE AWARD",0,"Federal Supply Schedule",1,0,1,NA,NA,0,"Federal Supply Schedule","1","0","1","2620412.6000","NULL","NULL","MULTIPLE AWARD","0","Federal Supply Schedule"
20588193,"MULTIPLE AWARD",NA,"1/20/2010","1/20/2010",1,2061412,2061412,2061412,2009,2009,1,"SPM10005D0421","25",NA,NA,367223,NA,"97AS","SPM100",NA,NA,"J","0","FAIR","D",NA,TRUE,NA,NA,2061412,"00:00.0","00:00.0",0,0,0,0,0,0,2061412,2061412,2061412,0,0,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2790","Products",0,NA,NA,0,NA,"MULTIPLE AWARD",1,"Indefinite Delivery Contract",31,0,1,NA,NA,1,"Indefinite Delivery Contract","31","0","1","2061412.0000","NULL","NULL","MULTIPLE AWARD","1","Indefinite Delivery Contract"
8488980,NA,NA,"11/30/2012","11/30/2012",4,16764412,16764412,16764412,2009,2012,0,"","W912QR09C0093",NA,NA,23356,NA,"2100","W912QR",NA,NA,"J","0","","A",NA,TRUE,NA,NA,16764412,"00:00.0","00:00.0",0,0,0,177412,177412,177412,16587000,16587000,16587000,0,1,0,0,0,2,1,"00:00.0","00:00.0","","ORG-2872","Services",0,NA,NA,0,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"8","1","1","16764412.0000","NULL","NULL","NULL","0","Definitive Contract"
24577986,"SINGLE AWARD",NA,"6/12/2013","6/12/2013",4,3371096,3371096,3371096,2011,2012,1,"W58RGZ07D0099","35",NA,NA,113124,NA,"5700","FA8625",NA,NA,"J","0","","A",NA,TRUE,NA,NA,3371096,"00:00.0","00:00.0",0,0,0,0,0,0,3371096,3371096,3371096,0,1,0,0,0,1,1,"00:00.0","00:00.0","","ORG-2825","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",4,1,1,NA,NA,1,"Indefinite Delivery Contract","4","1","1","3371096.0000","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
2961250,NA,NA,"5/21/2013","5/21/2013",120,2870976999,5366016454,5366016454,2007,2013,0,"","N0001907C0097",NA,NA,23356,NA,"1700","N00019",NA,NA,"V","198","","C",NA,FALSE,NA,NA,2870976999,"00:00.0","00:00.0",5555821.68,5555821.68,5555821.68,1312540874,1312540874,1312540874,157700000,157700000,157700000,0,1,0,2,1,44,1,"00:00.0","00:00.0","","ORG-2936","Products",0,NA,NA,0,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"1","0","0","NULL","1","0","NULL","0","Definitive Contract"
3083909,NA,NA,"9/30/2012","9/30/2012",37,168373480,168373480,168373480,2008,2013,0,"","N0017308C2074",NA,NA,23356,NA,"1700","N00173",NA,NA,"U","0","","A",NA,FALSE,NA,NA,168373480,"00:00.0","00:00.0",2574599,14511885,14511885,0,0,0,27778538,153511595,153511595,0,1,0,8,1,0,0,"00:00.0","00:00.0","","ORG-2945","R&D",1,168373480,"00:00.0",1,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"3","1","1","168373480.0000","NULL","NULL","NULL","0","Definitive Contract"
19749569,"SINGLE AWARD",NA,"9/30/2009","9/30/2009",5,4446393,4446393,4446393,2008,2009,1,"SP010302A0002","8530",NA,NA,247902,NA,"97AS","",NA,NA,"J","0","","A",NA,TRUE,NA,NA,4446393,"00:00.0","00:00.0",0,0,0,4446393,4446393,4446393,0,0,0,0,1,0,0,0,4,1,"00:00.0","00:00.0","","ORG-2791","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",NA,1,1,NA,NA,1,"Indefinite Delivery Contract","NULL","1","1","4446393.0000","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
24604165,"SINGLE AWARD",NA,"4/20/2013","4/20/2013",8,5313390.69,5684237,5684237,2007,2013,1,"W9113M06D0001","112",NA,NA,157732,NA,"2100","W9113M",NA,NA,"2","CAA","","D",NA,NA,NA,NA,5313390.69,"00:00.0","00:00.0",0,0,0,0,0,0,3e+05,382520,382520,0,1,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2871","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",9,0,1,NA,NA,1,"Indefinite Delivery Contract","9","0","1","5313390.6900","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
18501016,"MULTIPLE AWARD",NA,"4/30/2012","4/30/2012",153,7780816.53,7780816.53,7780816.53,2012,2012,1,"HTC71110DW004","9107",NA,NA,41747,NA,"9776","HTC711",NA,NA,"K","0","FAIR","A",NA,TRUE,NA,NA,7780816.53,"00:00.0","00:00.0",0,0,0,0,0,0,7780816.53,7780816.53,7780816.53,0,0,0,0,0,0,0,"00:00.0","00:00.0","","","Services",0,NA,NA,0,NA,"MULTIPLE AWARD",1,"Indefinite Delivery Contract",9,0,1,NA,NA,1,"Indefinite Delivery Contract","9","0","1","7780816.5300","NULL","NULL","MULTIPLE AWARD","1","Indefinite Delivery Contract"
