"","CSIScontractID","IDV","FxCb","Fee","Comp","Link","MDAP","unmodifiedSystemequipmentcode","Who","What","Intl","PSR","LowCeil","Ceil","Dur","SingleOffer","Offr","Soft","UCA","CRai","NChg","Veh","UnmodifiedNumberOfOffersReceived","Term","UnmodifiedContractBaseAndAllOptionsValue","SumOfisChangeOrder","pChangeOrderUnmodifiedBaseAndAll","pChangeOrderObligated","UnmodifiedDays","MinOfEffectiveDate","Action.Obligation","ContractCount","StartFiscalYear","UnmodifiedCompletionDate","EndAfterPeriod","Graph","TermNum"
"397912",18804949,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"402075",18804564,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"403802",18804800,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"427452",18804806,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"433844",18804486,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"434482",18804513,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"447648",18804855,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"458954",18804589,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"479620",18804902,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"489420",18804913,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"501056",18804643,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"509114",18804421,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"528114",18804381,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"543554",18804405,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"549835",18804452,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"566379",18804314,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"577559",18804801,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"592634",18804566,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"601014",18804320,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"602941",18804363,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"615069",18804618,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"650760",18804927,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"694548",18804367,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"697366",18804637,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"701195",18804535,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"709018",18804550,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"712651",18804753,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"714589",18804903,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"719666",18804429,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"723065",18804921,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"726674",18804448,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"780844",18804646,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"786652",18804324,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"804222",18804408,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"813030",18804398,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"831422",18804462,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"831503",18804918,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"835612",18804910,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"847923",18804821,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
